'Flow Duration','Tot Fwd Pkts','Tot Bwd Pkts','TotLen Fwd Pkts','TotLen Bwd Pkts','Fwd Pkt Len Max','Fwd Pkt Len Min','Fwd Pkt Len Mean','Fwd Pkt Len Std','Bwd Pkt Len Max','Bwd Pkt Len Min','Bwd Pkt Len Mean','Bwd Pkt Len Std','Flow IAT Mean','Flow IAT Std','Flow IAT Max','Flow IAT Min','Fwd IAT Tot','Fwd IAT Mean','Fwd IAT Std','Fwd IAT Max','Fwd IAT Min','Bwd IAT Tot','Bwd IAT Mean','Bwd IAT Std','Bwd IAT Max','Bwd IAT Min','Fwd PSH Flags','Bwd PSH Flags','Fwd URG Flags','Bwd URG Flags','Fwd Header Len','Bwd Header Len','Fwd Pkts/s','Bwd Pkts/s','Pkt Len Min','Pkt Len Max','Pkt Len Mean','Pkt Len Std','Pkt Len Var','FIN Flag Cnt','SYN Flag Cnt','RST Flag Cnt','PSH Flag Cnt','ACK Flag Cnt','URG Flag Cnt','CWE Flag Count','ECE Flag Cnt','Down/Up Ratio','Pkt Size Avg','Fwd Seg Size Avg','Bwd Seg Size Avg','Fwd Byts/b Avg','Fwd Pkts/b Avg','Fwd Blk Rate Avg','Bwd Byts/b Avg','Bwd Pkts/b Avg','Bwd Blk Rate Avg','Subflow Fwd Pkts','Subflow Fwd Byts','Subflow Bwd Pkts','Subflow Bwd Byts','Init Fwd Win Byts','Init Bwd Win Byts','Fwd Act Data Pkts','Fwd Seg Size Min','Active Mean','Active Std','Active Max','Active Min','Idle Mean','Idle Std','Idle Max','Idle Min',Tipo
12073,0,2,0,0,0,0,0,0,0,0,0,0,12073,0,12073,12073,0,0,0,0,0,12073,12073,0,12073,12073,0,0,0,0,0,64,0,165.658908,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,5
85,0,2,0,0,0,0,0,0,0,0,0,0,85,0,85,85,0,0,0,0,0,85,85,0,85,85,0,0,0,0,0,64,0,23529.411765,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,2048,0,0,0,0,0,0,0,0,0,0,5
184,0,2,0,0,0,0,0,0,0,0,0,0,184,0,184,184,0,0,0,0,0,184,184,0,184,184,0,0,0,0,0,64,0,10869.565217,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,2048,0,0,0,0,0,0,0,0,0,0,5
7604,0,2,0,0,0,0,0,0,0,0,0,0,7604,0,7604,7604,0,0,0,0,0,7604,7604,0,7604,7604,0,0,0,0,0,64,0,263.019463,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,5
4552,0,2,0,0,0,0,0,0,0,0,0,0,4552,0,4552,4552,0,0,0,0,0,4552,4552,0,4552,4552,0,0,0,0,0,64,0,439.367311,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,5
8060,0,2,0,0,0,0,0,0,0,0,0,0,8060,0,8060,8060,0,0,0,0,0,8060,8060,0,8060,8060,0,0,0,0,0,64,0,248.138958,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,5
2680,0,2,0,0,0,0,0,0,0,0,0,0,2680,0,2680,2680,0,0,0,0,0,2680,2680,0,2680,2680,0,0,0,0,0,64,0,746.268657,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,5
2997,0,2,0,0,0,0,0,0,0,0,0,0,2997,0,2997,2997,0,0,0,0,0,2997,2997,0,2997,2997,0,0,0,0,0,64,0,667.334001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,5
2300,0,2,0,0,0,0,0,0,0,0,0,0,2300,0,2300,2300,0,0,0,0,0,2300,2300,0,2300,2300,0,0,0,0,0,64,0,869.565217,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,5
7697,0,2,0,0,0,0,0,0,0,0,0,0,7697,0,7697,7697,0,0,0,0,0,7697,7697,0,7697,7697,0,0,0,0,0,64,0,259.841497,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,5
21476,0,2,0,0,0,0,0,0,0,0,0,0,21476,0,21476,21476,0,0,0,0,0,21476,21476,0,21476,21476,0,0,0,0,0,64,0,93.127212,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,5
1864,0,2,0,0,0,0,0,0,0,0,0,0,1864,0,1864,1864,0,0,0,0,0,1864,1864,0,1864,1864,0,0,0,0,0,64,0,1072.961373,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,5
