'Flow Duration','Tot Fwd Pkts','Tot Bwd Pkts','TotLen Fwd Pkts','TotLen Bwd Pkts','Fwd Pkt Len Max','Fwd Pkt Len Min','Fwd Pkt Len Mean','Fwd Pkt Len Std','Bwd Pkt Len Max','Bwd Pkt Len Min','Bwd Pkt Len Mean','Bwd Pkt Len Std','Flow IAT Mean','Flow IAT Std','Flow IAT Max','Flow IAT Min','Fwd IAT Tot','Fwd IAT Mean','Fwd IAT Std','Fwd IAT Max','Fwd IAT Min','Bwd IAT Tot','Bwd IAT Mean','Bwd IAT Std','Bwd IAT Max','Bwd IAT Min','Fwd PSH Flags','Bwd PSH Flags','Fwd URG Flags','Bwd URG Flags','Fwd Header Len','Bwd Header Len','Fwd Pkts/s','Bwd Pkts/s','Pkt Len Min','Pkt Len Max','Pkt Len Mean','Pkt Len Std','Pkt Len Var','FIN Flag Cnt','SYN Flag Cnt','RST Flag Cnt','PSH Flag Cnt','ACK Flag Cnt','URG Flag Cnt','CWE Flag Count','ECE Flag Cnt','Down/Up Ratio','Pkt Size Avg','Fwd Seg Size Avg','Bwd Seg Size Avg','Fwd Byts/b Avg','Fwd Pkts/b Avg','Fwd Blk Rate Avg','Bwd Byts/b Avg','Bwd Pkts/b Avg','Bwd Blk Rate Avg','Subflow Fwd Pkts','Subflow Fwd Byts','Subflow Bwd Pkts','Subflow Bwd Byts','Init Fwd Win Byts','Init Bwd Win Byts','Fwd Act Data Pkts','Fwd Seg Size Min','Active Mean','Active Std','Active Max','Active Min','Idle Mean','Idle Std','Idle Max','Idle Min',Comportamento
107096654,11322,1,362304,32,32,32,32,0,32,32,32,0,9459.163929,345127.824296,24502135,0,107069134,9457.568589,345143.026373,24502135,0,0,0,0,0,0,0,0,0,0,90576,8,105.717589,0.009337,32,32,32,0,0,0,0,0,0,0,0,0,0,0,32.002826,32,32,0,0,0,0,0,0,11322,362304,1,32,-1,-1,11322,0,7141260.25,9784140.166422,21796347,1531439,15664394.4,5101437.933042,24502135,11794482,1
107736919,10398,1,332736,32,32,32,32,0,32,32,32,0,10361.311695,379485.422278,24206221,0,107736918,10362.308166,379503.659746,24206221,0,0,0,0,0,0,0,0,0,0,83184,8,96.512877,0.009282,32,32,32,0,0,0,0,0,0,0,0,0,0,0,32.003077,32,32,0,0,0,0,0,0,10398,332736,1,32,-1,-1,10398,0,6012556,10633058.230007,21944093,1,16716690.4,4709893.989413,24206221,12737945,1
106960127,9942,1,318144,32,32,32,32,0,32,32,32,0,10758.411487,476837.655942,41325023,0,106960127,10759.493713,476861.628926,41325023,0,0,0,0,0,0,0,0,0,0,79536,8,92.950525,0.009349,32,32,32,0,0,0,0,0,0,0,0,0,0,0,32.003218,32,32,0,0,0,0,0,0,9942,318144,1,32,-1,-1,9942,0,6355782.25,10323213.335186,21839559,1073460,20384249.5,14027982.504095,41325023,12132957,1
107100035,9809,1,313888,32,32,32,32,0,32,32,32,0,10918.547762,383734.652265,25931181,0,106438208,10852.182708,383697.917616,25931181,0,0,0,0,0,0,0,0,0,0,78472,8,91.587272,0.009337,32,32,32,0,0,0,0,0,0,0,0,0,0,0,32.003262,32,32,0,0,0,0,0,0,9809,313888,1,32,-1,-1,9809,0,5228962.4,9014273.589317,21344753,697408,16191044.6,5464333.699047,25931181,13289827,1
107438398,15050,1,481600,32,32,32,32,0,32,32,32,0,7138.763987,315100.034303,27560924,0,107438398,7139.238355,315110.498586,27560924,0,0,0,0,0,0,0,0,0,0,120400,8,140.080272,0.009308,32,32,32,0,0,0,0,0,0,0,0,0,0,0,32.002126,32,32,0,0,0,0,0,0,15050,481600,1,32,-1,-1,15050,0,5254678.8,9331777.289485,21904549,88904,16231851,6464422.166486,27560924,12152189,1
107715072,7930,1,253760,32,32,32,32,0,32,32,32,0,13583.237327,435447.98088,25624292,0,107715072,13584.950435,435475.415952,25624292,0,0,0,0,0,0,0,0,0,0,63440,8,73.620152,0.009284,32,32,32,0,0,0,0,0,0,0,0,0,0,0,32.004035,32,32,0,0,0,0,0,0,7930,253760,1,32,-1,-1,7930,0,6147809.75,10465435.784029,21819730,119200,16609457.6,5346083.592771,25624292,12484604,1
81467333,11100,1,355200,32,32,32,32,0,32,32,32,0,7339.399369,248702.46044,14337790,0,81467333,7340.060636,248713.655262,14337790,0,0,0,0,0,0,0,0,0,0,88800,8,136.250931,0.012275,32,32,32,0,0,0,0,0,0,0,0,0,0,0,32.002883,32,32,0,0,0,0,0,0,11100,355200,1,32,-1,-1,11100,0,6899585,10231478.687117,22212463,1041314,12941785,1108630.355943,14337790,12018516,1
79475459,11401,1,364832,32,32,32,32,0,32,32,32,0,6970.920007,255080.427548,14416378,0,79475459,6971.531491,255091.607666,14416378,0,0,0,0,0,0,0,0,0,0,91208,8,143.453088,0.012583,32,32,32,0,0,0,0,0,0,0,0,0,0,0,32.002807,32,32,0,0,0,0,0,0,11401,364832,1,32,-1,-1,11401,0,6113829.5,10616808.256817,22027207,299461,13486675.25,991377.253476,14416378,12286496,1
107701555,17777,1,568864,32,32,32,32,0,32,32,32,0,6058.477527,277120.834626,26102475,0,107676523,6057.41016,277128.593216,26102475,0,0,0,0,0,0,0,0,0,0,142216,8,165.05797,0.009285,32,32,32,0,0,0,0,0,0,0,0,0,0,0,32.0018,32,32,0,0,0,0,0,0,17777,568864,1,32,-1,-1,17777,0,5959987.8,8965326.564843,21961780,1370401,15561719.2,5974955.158297,26102475,11661251,1
78848943,12122,1,387904,32,32,32,32,0,32,32,32,0,6504.614998,246974.715859,15196764,0,78837053,6504.170695,246984.89953,15196764,0,0,0,0,0,0,0,0,0,0,96976,8,153.737001,0.012682,32,32,32,0,0,0,0,0,0,0,0,0,0,0,32.00264,32,32,0,0,0,0,0,0,12122,387904,1,32,-1,-1,12122,0,6052553.5,9108675.548794,19648577,736492,13462582,1363013.115139,15196764,11863677,1
