'Flow Duration','Tot Fwd Pkts','Tot Bwd Pkts','TotLen Fwd Pkts','TotLen Bwd Pkts','Fwd Pkt Len Max','Fwd Pkt Len Min','Fwd Pkt Len Mean','Fwd Pkt Len Std','Bwd Pkt Len Max','Bwd Pkt Len Min','Bwd Pkt Len Mean','Bwd Pkt Len Std','Flow IAT Mean','Flow IAT Std','Flow IAT Max','Flow IAT Min','Fwd IAT Tot','Fwd IAT Mean','Fwd IAT Std','Fwd IAT Max','Fwd IAT Min','Bwd IAT Tot','Bwd IAT Mean','Bwd IAT Std','Bwd IAT Max','Bwd IAT Min','Fwd PSH Flags','Bwd PSH Flags','Fwd URG Flags','Bwd URG Flags','Fwd Header Len','Bwd Header Len','Fwd Pkts/s','Bwd Pkts/s','Pkt Len Min','Pkt Len Max','Pkt Len Mean','Pkt Len Std','Pkt Len Var','FIN Flag Cnt','SYN Flag Cnt','RST Flag Cnt','PSH Flag Cnt','ACK Flag Cnt','URG Flag Cnt','CWE Flag Count','ECE Flag Cnt','Down/Up Ratio','Pkt Size Avg','Fwd Seg Size Avg','Bwd Seg Size Avg','Fwd Byts/b Avg','Fwd Pkts/b Avg','Fwd Blk Rate Avg','Bwd Byts/b Avg','Bwd Pkts/b Avg','Bwd Blk Rate Avg','Subflow Fwd Pkts','Subflow Fwd Byts','Subflow Bwd Pkts','Subflow Bwd Byts','Init Fwd Win Byts','Init Bwd Win Byts','Fwd Act Data Pkts','Fwd Seg Size Min','Active Mean','Active Std','Active Max','Active Min','Idle Mean','Idle Std','Idle Max','Idle Min',Comportamento
67681796,10,1,0,0,0,0,0,0,0,0,0,0,6768179.6,10209901.395136,32308900,1006748,66675048,7408338.666667,10614238.383702,32308900,1009062,0,0,0,0,0,0,0,0,0,424,44,0.14775,0.014775,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10,0,1,0,-1,65535,0,0,11119465,0,11119465,11119465,18854110.333333,12334287.114314,32308900,8081828,1
67604791,10,1,0,0,0,0,0,0,0,0,0,0,6760479.1,10216999.663553,32332937,1003295,66601496,7400166.222222,10622239.48748,32332937,1004499,0,0,0,0,0,0,0,0,0,424,44,0.147919,0.014792,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10,0,1,0,-1,65535,0,0,11066658,0,11066658,11066658,18846044.333333,12362770.946974,32332937,8050944,1
19102856,8,1,0,0,0,0,0,0,0,0,0,0,2387857,2518644.555726,8046411,1003007,18099338,2585619.714286,2652509.116591,8046411,1003007,0,0,0,0,0,0,0,0,0,352,44,0.418786,0.052348,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8,0,1,0,-1,65535,0,0,11056445,0,11056445,11056445,8046411,0,8046411,8046411,1
11054924,7,1,0,0,0,0,0,0,0,0,0,0,1579274.857143,1137702.035381,4016250,1003284,10049468,1674911.333333,1215076.082686,4016250,1003284,0,0,0,0,0,0,0,0,0,308,44,0.633202,0.090457,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,0,1,0,-1,65535,0,0,0,0,0,0,0,0,0,0,1
67646056,10,1,0,0,0,0,0,0,0,0,0,0,6764605.6,10217085.538309,32326728,1005237,66639646,7404405.111111,10622256.262069,32326728,1005237,0,0,0,0,0,0,0,0,0,424,44,0.147828,0.014783,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10,0,1,0,-1,65535,0,0,11066743,0,11066743,11066743,18859771,12343358.953403,32326728,8084101,1
19103750,8,1,0,0,0,0,0,0,0,0,0,0,2387968.75,2515848.169692,8037839,1003669,18096941,2585277.285714,2649727.257276,8037839,1003669,0,0,0,0,0,0,0,0,0,352,44,0.418766,0.052346,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8,0,1,0,-1,65535,0,0,11065911,0,11065911,11065911,8037839,0,8037839,8037839,1
67390134,10,1,0,0,0,0,0,0,0,0,0,0,6739013.4,10154568.853464,32146231,1008173,66380421,7375602.333333,10556782.920793,32146231,1008173,0,0,0,0,0,0,0,0,0,424,44,0.14839,0.014839,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10,0,1,0,-1,65535,0,0,11110909,0,11110909,11110909,18759741.666667,12265448.091306,32146231,8061170,1
67347630,10,1,0,0,0,0,0,0,0,0,0,0,6734763,10161718.510762,32168323,1006469,66341161,7371240.111111,10564595.517935,32168323,1006536,0,0,0,0,0,0,0,0,0,424,44,0.148483,0.014848,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10,0,1,0,-1,65535,0,0,11073530,0,11073530,11073530,18758033.333333,12288676.572257,32168323,8036090,1
19111086,8,1,0,0,0,0,0,0,0,0,0,0,2388885.75,2519648.536587,8051010,1004268,18105993,2586570.428571,2653675.571591,8051010,1004268,0,0,0,0,0,0,0,0,0,352,44,0.418605,0.052326,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8,0,1,0,-1,65535,0,0,11060076,0,11060076,11060076,8051010,0,8051010,8051010,1
35183267,9,1,0,0,0,0,0,0,0,0,0,0,3909251.888889,5140885.779207,16093286,1001292,34178991,4272373.875,5371032.186373,16093286,1001292,0,0,0,0,0,0,0,0,0,396,44,0.255803,0.028423,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9,0,1,0,-1,65535,0,0,11042123,0,11042123,11042123,12070572,5688976.696348,16093286,8047858,1
